id_venta,fecha_venta,modelo_auto,cantidad,precio_unitario,tarjeta_de_credito
1,18/06/2022,Odyssey,5,1704.65,374622115747270
2,07/11/2022,4Runner,7,4830.88,374622888984886
3,15/12/2021,Ram 1500 Club,8,3490.16,374622083585439
4,13/08/2022,Eclipse,10,1104.25,374622819703637
5,23/05/2022,F150,1,3502.18,374622617784573
6,10/03/2022,LeSabre,6,2562.67,374622222391145
7,13/01/2022,Esteem,3,1549.27,374622986033339
8,07/04/2022,Grand Prix,7,1198.06,374622060340378
9,15/05/2022,Sorento,8,2321.24,374622425416665
10,15/12/2021,Datsun/Nissan Z-car,9,1073.41,374622888809844
11,30/03/2022,Sierra 2500,7,2679.51,374622861322278
12,03/09/2022,Econoline E350,6,2374.32,374622541020904
13,28/11/2021,LSS,7,2391.88,374622410155229
14,15/02/2022,Tracer,2,4369.34,374622807858468
15,29/08/2022,Truck,2,3798.15,374622849856389
16,29/04/2022,Elantra,6,1595.97,374622952918109
17,30/05/2022,Town & Country,10,2350.53,374622225577021
18,30/11/2021,Avalanche 2500,4,4281.09,374622386199797
19,19/04/2022,Ranger,5,1413.39,374622261645989
20,18/01/2022,Expo LRV,1,3317.16,374622085177409
21,16/02/2022,Camry,10,3899.17,374622771343182
22,21/05/2022,E350,6,1440.16,374622622782364
23,29/10/2022,Pajero,10,1073.1,374622380197094
24,22/08/2022,Expedition,9,3027.58,374622227171724
25,10/02/2022,Impreza WRX,6,4185.53,374622830938246
26,07/09/2022,Yaris,7,1789.6,374622561334623
27,18/05/2022,Corolla,4,2762.48,374622341166865
28,03/08/2022,Grand Prix,8,2942.26,374622092079911
29,15/10/2022,Liberty,10,4914.04,374622506362150
30,13/10/2022,G-Series G30,8,1366.46,374622988587787
31,06/06/2022,Taurus,9,2062.0,374622174464221
32,25/12/2021,Eclipse,7,2339.05,374622930538508
33,24/02/2022,599 GTB Fiorano,7,2589.44,374622672493169
34,24/10/2022,Ciera,8,2639.51,374622635109969
35,03/06/2022,Cougar,4,4925.19,374622271159815
36,24/01/2022,I,1,3552.24,374622592838790
37,01/04/2022,Mustang,7,1049.26,374622018983451
38,30/07/2022,V8,9,4298.53,374622690377469
39,11/03/2022,Cirrus,7,3862.37,374622354440363
40,17/11/2022,Forester,1,1612.41,374622393043335
41,24/11/2021,Roadmaster,2,4881.68,374622045186235
42,01/04/2022,Pathfinder,8,1905.2,374622022642663
43,24/02/2022,GTI,10,1118.0,374622555975449
44,19/06/2022,MKS,2,2304.63,374622237068050
45,06/03/2022,ES,8,3384.58,374622870189908
46,20/12/2021,Bronco,9,1023.1,374622514212405
47,31/03/2022,Eclipse,2,2890.88,374622497983543
48,09/05/2022,Tiguan,9,2902.46,374622583330419
49,31/05/2022,Flex,5,3994.75,374622858118416
50,11/05/2022,XF,6,1710.15,374622888613675
51,17/07/2022,X-Type,10,1338.92,374622373262186
52,27/04/2022,Type 2,5,2552.21,374622624982525
53,26/04/2022,Grand Caravan,6,3764.76,374622770246709
54,15/07/2022,RX,1,2657.1,374622907269475
55,05/03/2022,Envoy XL,5,3376.01,374622883267626
56,14/12/2021,Savana 2500,10,1561.94,374622460950602
57,12/03/2022,911,5,4094.77,374622049694374
58,12/11/2022,Sky,1,1772.23,374622037593133
59,14/12/2021,RX Hybrid,10,1579.89,374622209614956
60,08/02/2022,Econoline E150,6,3588.75,374622431523090
61,12/11/2022,Eclipse,3,3332.18,374622365557262
62,31/05/2022,Brat,4,1766.78,374622732307086
63,18/08/2022,Swift,3,2606.58,374622920713608
64,17/02/2022,Eclipse,7,1350.97,374622003805222
65,21/11/2022,Accord,7,4156.94,374622214390535
66,26/07/2022,Avenger,5,3916.09,374622917567421
67,05/12/2021,G6,3,2836.46,374622733825425
68,05/10/2022,Sable,8,2224.05,374622245585111
69,13/11/2022,Tracker,3,4431.95,374622047282255
70,21/02/2022,Grand Marquis,7,2778.28,374622129793013
71,25/11/2021,Outlander,6,1067.5,374622807613749
72,18/06/2022,A3,7,4695.52,374622097047434
73,06/05/2022,Excel,7,2043.73,374622257869981
74,02/07/2022,Eldorado,8,4502.85,374622565987038
75,19/01/2022,3 Series,2,2141.39,374622276812251
76,20/10/2022,H1,9,1921.71,374622900021378
77,02/03/2022,Pilot,9,1565.51,374622451389653
78,04/05/2022,Eclipse,1,1539.68,374622567435184
79,29/08/2022,Accent,9,4220.37,374622539285907
80,04/05/2022,S-Class,4,4827.95,374622501735616
81,13/06/2022,Fit,3,1949.61,374622640416029
82,12/11/2022,Escape,1,1123.24,374622018553189
83,20/02/2022,TrailBlazer,6,3542.22,374622547291541
84,31/10/2022,9-2X,8,3993.84,374622662053148
85,12/01/2022,ES,1,4623.91,374622004680095
86,09/09/2022,Escalade,2,2371.37,374622186986294
87,19/09/2022,Tracer,1,4223.85,374622284939542
88,11/12/2021,GTI,9,1308.0,374622980989817
89,12/01/2022,DeVille,9,2405.73,374622428635592
90,29/12/2021,Bronco,4,4497.83,374622027877900
91,06/07/2022,Legacy,2,4710.85,374622862866646
92,30/08/2022,Eclipse,9,2877.26,374622404732074
93,26/03/2022,Corvette,3,4655.85,374622327091269
94,05/10/2022,Explorer,5,2532.58,374622994673027
95,17/09/2022,Fit,2,1525.6,374622856999262
96,07/06/2022,Enclave,9,1156.05,374622606203288
97,02/09/2022,Summit,1,4401.73,374622859702135
98,08/06/2022,Diamante,3,3472.01,374622334866364
99,17/01/2022,Avalon,1,1710.01,374622239266090
100,16/08/2022,Explorer Sport Trac,5,2129.33,374622082625269
